Timestamp,Age,Gender,City,Position ,Total years of experience,Years of experience in Germany,Seniority level,Technical language,Other Technical language, Yearly brutto salary   ,  Bonus+Stocks , Annual brutto salary one year ago(Only answer if staying in the same country) ,  Bonus+Stocks one year ago(Only answer if staying in same country) ,Vacation Days,Employment status,Contract duration,Main language ,Company size,Company type,Lost Job
26/11/2020 15:31:02,34,Male,Berlin,Data Scientist,6,4.5,Senior,python,"Python, Javascript / Typescript, SQL, Google Cloud, Docker","€ 80,000.00","€ 10,000.00","€ 76,000.00", € -   ,27,Full-time employee,Unlimited contract,English,1000+,Product,No
26/11/2020 15:37:45,26,Male,Berlin,Data Scientist,4,2,Middle,Python,"Python, SQL, Google Cloud, Docker","€ 60,000.00","€ 6,000.00","€ 60,000.00","€ 6,000.00",27,Full-time employee,Unlimited contract,English,1000+,Ecommerce,No
26/11/2020 17:08:47,42,Male,Berlin,Frontend Developer,18,5,Senior,React JS,Javascript / Typescript,"€ 850,000.00","€ 95,000.00","€ 75,000.00","€ 82,000.00",35,Full-time employee,Unlimited contract,English,101-1000,Product,Yes
26/11/2020 17:27:56,33,Male,Berlin,Software Engineer,10,5,Senior,Python,"PHP, Javascript / Typescript, SQL, Go, Google Cloud, Kubernetes, Docker","€ 80,000.00","€ 10,000.00","€ 70,000.00", € -   ,28,Full-time employee,Unlimited contract,English,1000+,Product,No
26/11/2020 17:45:29,28,Male,Berlin,Data Engineer,6,1.5,Middle,Python,"Java / Scala, SQL, Kubernetes, Docker","€ 83,000.00", € -   ,"€ 75,000.00", € -   ,30,Full-time employee,Unlimited contract,English,1000+,Product,No
26/11/2020 18:57:33,35,Male,DÃ¼sseldorf,Data Scientist,3,3,Middle,Python,"SQL, AWS","€ 68,000.00","€ 8,000.00","€ 60,000.00","€ 8,000.00",26,Full-time employee,Unlimited contract,English,51-100,E-Commerce,No
26/11/2020 19:22:38,35,Male,Berlin,Consultant,16,6,Senior,Python,"Python, Java / Scala, SQL, Google Cloud","€ 100,000.00","€ 30,000.00","€ 100,000.00","€ 30,000.00",30,Full-time employee,Unlimited contract,English,1000+,Product,No
26/11/2020 20:19:33,38,Male,Berlin,Software Engineer,15,3,Senior,Go,"Google Cloud, Docker","€ 75,000.00", € -   ,"€ 73,000.00", € -   ,28,Full-time employee,Unlimited contract,English,101-1000,Product,No
26/11/2020 21:22:59,31,Male,Minsk,Frontend Developer,6,0,Senior,TypeScript/Angular,"Python, Javascript / Typescript","€ 110,000.00",,"€ 90,000.00",,30,Full-time employee,Unlimited contract,English,11-50,Product,No
26/11/2020 21:29:02,33,Male,Berlin,Software Engineer,10,5,Senior,golang,"Go, Google Cloud, Kubernetes, Docker","€ 110,000.00","€ 7,000.00","€ 110,000.00","€ 7,000.00",30,Full-time employee,Unlimited contract,English,101-1000,Product,No
